cat_title,v_order,v_position,poem_text,poet_name,poem_id
رباعی,1,0,جز نقش تو در نظر نیامد ما را,حافظ,1
رباعی,2,1,جز کوی تو رهگذر نیامد ما را,حافظ,1
رباعی,3,0,خواب ارچه خوش آمد همه را در عهدت,حافظ,1
رباعی,4,1,حقا که به چشم در نیامد ما را,حافظ,1
رباعی,1,0,بر گیر شراب طرب‌انگیز و بیا,حافظ,2
رباعی,2,1,پنهان ز رقیب سفله بستیز و بیا,حافظ,2
رباعی,3,0,مشنو سخن خصم که بنشین و مرو,حافظ,2
رباعی,4,1,بشنو ز من این نکته که برخیز و بیا,حافظ,2
رباعی,1,0,ماهی که قدش به سرو می‌ماند راست,حافظ,4
رباعی,2,1,آیینه به دست و روی خود می‌آراست,حافظ,4
رباعی,3,0,دستارچه‌ای پیشکشش کردم گفت,حافظ,4
رباعی,4,1,وصلم طلبی زهی خیالی که توراست,حافظ,4
رباعی,1,0,من باکمر تو در میان کردم دست,حافظ,5
رباعی,2,1,پنداشتمش که در میان چیزی هست,حافظ,5
رباعی,3,0,پیداست از آن میان چو بربست کمر,حافظ,5
رباعی,4,1,تا من ز کمر چه طرف خواهم بربست,حافظ,5
رباعی,1,0,تو بدری و خورشید تو را بنده شده‌ست,حافظ,6
رباعی,2,1,تا بنده‌ی تو شده‌ست تابنده شده‌ست,حافظ,6
رباعی,3,0,زان روی که از شعاع نور رخ تو,حافظ,6
رباعی,4,1,خورشید منیر و ماه تابنده شده‌ست,حافظ,6
رباعی,1,0,هر روز دلم به زیر باری دگر است,حافظ,7
رباعی,2,1,در دیده‌ی من ز هجر خاری دگر است,حافظ,7
رباعی,3,0,من جهد همی‌کنم قضا می‌گوید,حافظ,7
رباعی,4,1,بیرون ز کفایت تو کاری دگراست,حافظ,7
رباعی,1,0,ماهم که رخش روشنی خور بگرفت,حافظ,8
رباعی,2,1,گرد خط او چشمه‌ی کوثر بگرفت,حافظ,8
رباعی,3,0,دلها همه در چاه زنخدان انداخت,حافظ,8
رباعی,4,1,وآنگه سر چاه را به عنبر بگرفت,حافظ,8
رباعی,1,0,امشب ز غمت میان خون خواهم خفت,حافظ,9
رباعی,2,1,وز بستر عافیت برون خواهم خفت,حافظ,9
رباعی,3,0,باور نکنی خیال خود را بفرست,حافظ,9
رباعی,4,1,تا در نگرد که بی‌تو چون خواهم خفت,حافظ,9
رباعی,1,0,نی قصه‌ی آن شمع چگل بتوان گفت,حافظ,10
رباعی,2,1,نی حال دل سوخته دل بتوان گفت,حافظ,10
رباعی,3,0,غم در دل تنگ من از آن است که نیست,حافظ,10
رباعی,4,1,یک دوست که با او غم دل بتوان گفت,حافظ,10
رباعی,1,0,اول به وفا می وصالم درداد,حافظ,11
رباعی,2,1,چون مست شدم جام جفا را سرداد,حافظ,11
رباعی,3,0,پر آب دو دیده و پر از آتش دل,حافظ,11
رباعی,4,1,خاک ره او شدم به بادم برداد,حافظ,11
رباعی,1,0,نی دولت دنیا به ستم می‌ارزد,حافظ,12
رباعی,2,1,نی لذت مستی‌اش الم می‌ارزد,حافظ,12
رباعی,3,0,نه هفت هزار ساله شادی جهان,حافظ,12
رباعی,4,1,این محنت هفت روزه غم می‌ارزد,حافظ,12
رباعی,1,0,هر دوست که دم زد ز وفا دشمن شد,حافظ,13
رباعی,2,1,هر پاکروی که بود تردامن شد,حافظ,13
رباعی,3,0,گویند شب آبستن و این است عجب,حافظ,13
رباعی,4,1,کاو مرد ندید از چه آبستن شد,حافظ,13
رباعی,1,0,چون غنچه‌ی گل قرابه‌پرداز شود,حافظ,14
رباعی,2,1,نرگس به هوای می قدح ساز شود,حافظ,14
رباعی,3,0,فارغ دل آن کسی که مانند حباب,حافظ,14
رباعی,4,1,هم در سر میخانه سرانداز شود,حافظ,14
رباعی,1,0,با می به کنار جوی می‌باید بود,حافظ,15
رباعی,2,1,وز غصه کناره‌جوی می‌باید بود,حافظ,15
رباعی,3,0,این مدت عمر ما چو گل ده روز است,حافظ,15
